date,price,house_id,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,location_type,distance_miles
2014-10-13,221900.0,7129300520,7129300520,3.0,1.0,1180.0,5650.0,1.0,,0.0,3,7,1180.0,0.0,1955,0.0,98178,47.5112,-122.257,1340.0,5650.0,Urban,7.439941651731647
2014-12-09,538000.0,6414100192,6414100192,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3,7,2170.0,400.0,1951,19910.0,98125,47.721,-122.319,1690.0,7639.0,Urban,7.955793584754999
2015-02-25,180000.0,5631500400,5631500400,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3,6,770.0,0.0,1933,,98028,47.7379,-122.233,2720.0,8062.0,Urban,10.201655343228099
2014-12-09,604000.0,2487200875,2487200875,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5,7,1050.0,910.0,1965,0.0,98136,47.5208,-122.393,1360.0,5000.0,Urban,6.548558284350336
2015-02-18,510000.0,1954400510,1954400510,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.6168,-122.045,1800.0,7503.0,Urban,13.393847623644065
2014-05-12,1230000.0,7237550310,7237550310,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3,11,3890.0,1530.0,2001,0.0,98053,47.6561,-122.005,4760.0,101930.0,Urban,15.616759210119595
2014-06-27,257500.0,1321400060,1321400060,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3,7,1715.0,,1995,0.0,98003,47.3097,-122.327,2238.0,6819.0,Urban,20.488819429467497
2015-01-15,291850.0,2008000270,2008000270,3.0,1.5,1060.0,9711.0,1.0,0.0,,3,7,1060.0,0.0,1963,0.0,98198,47.4095,-122.315,1650.0,9711.0,Urban,13.614909312622823
2015-04-15,229500.0,2414600126,2414600126,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3,7,1050.0,730.0,1960,0.0,98146,47.5123,-122.337,1780.0,8113.0,Urban,6.492284941402639
2015-03-12,323000.0,3793500160,3793500160,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3,7,1890.0,0.0,2003,0.0,98038,47.3684,-122.031,2390.0,7570.0,Urban,21.625261219898327
2015-04-03,662500.0,1736800520,1736800520,3.0,2.5,3560.0,9796.0,1.0,,0.0,3,8,1860.0,1700.0,1965,0.0,98007,47.6007,-122.145,2210.0,8925.0,Urban,8.725191342213742
2014-05-27,468000.0,9212900260,9212900260,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4,7,860.0,300.0,1942,0.0,98115,47.69,-122.292,1330.0,6000.0,Urban,6.0838181450428115
2014-05-28,310000.0,114101516,114101516,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4,7,1430.0,0.0,1927,,98028,47.7558,-122.229,1780.0,12697.0,Urban,11.395508223479935
